Ano,Tipo de Emenda,Autor da emenda,Numero da emenda,Localidade do gasto,Funcao,Subfuncao,Programa Orcamentario,Acao Orcamentaria,Plano Orcamentario,Codigo da emenda,Valor empenhado,Valor pago
2023,Emenda Individual - Transferências com Finalidade Definida,PATRUS ANANIAS,5,MINAS GERAIS (UF),Comunicações,Tecnologia da informação,2205 - CONECTA BRASIL,20V8 - APOIO A INICIATIVAS E PROJETOS DE INCLUSAO DIGITAL,APOIO A INICIATIVAS E PROJETOS DE INCLUSAO DIGITAL - DESPESAS DIVERSAS,202314080005,48876.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,FREI ANASTACIO RIBEIRO,6,Nacional,Defesa nacional,Administração geral,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,2000 - ADMINISTRACAO DA UNIDADE,ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS,202339920006,49944.39,49944.39
2023,Emenda Individual - Transferências com Finalidade Definida,JORGE KAJURU,6,GOIÁS (UF),Saúde,Assistência hospitalar e ambulatorial,5018 - ATENCAO ESPECIALIZADA A SAUDE,8535 - ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE,ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE - DESPESAS DIVERSAS,202392060006,50000.0,0.0
2023,Emenda de Comissão,COM. DE TRANSP. GOV. FISC. E CONT. E DEF. DO CONSU,2,Nacional,Direitos da cidadania,"Direitos individuais, coletivos e difusos",5015 - JUSTICA,2334 - PROTECAO E DEFESA DO CONSUMIDOR,PROTECAO E DEFESA DO CONSUMIDOR - DESPESAS DIVERSAS,202350350002,50000.0,0.0
2023,Emenda de Comissão,COM. DEFESA DO CONSUMIDOR,2,Nacional,Direitos da cidadania,"Direitos individuais, coletivos e difusos",5015 - JUSTICA,2334 - PROTECAO E DEFESA DO CONSUMIDOR,PROTECAO E DEFESA DO CONSUMIDOR - DESPESAS DIVERSAS,202350130002,50000.0,0.0
2023,Emenda de Comissão,COM. DEFESA DO CONSUMIDOR,1,Nacional,Direitos da cidadania,"Direitos individuais, coletivos e difusos",5015 - JUSTICA,2334 - PROTECAO E DEFESA DO CONSUMIDOR,PROTECAO E DEFESA DO CONSUMIDOR - DESPESAS DIVERSAS,202350130001,50000.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,PROFESSORA ROSA NEIDE,7,DISTRITO FEDERAL (UF),Educação,Ensino superior,"5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO","20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO","FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS",202340610007,50000.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,MARCEL VAN HATTEM,1,RIO GRANDE DO SUL (UF),Saúde,Atenção básica,5019 - ATENCAO PRIMARIA A SAUDE,8581 - ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE,ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE - DESPESAS DIVERSAS,202341160001,50548.0,50548.0
2023,Emenda de Comissão,COM. DIREITOS HUMANOS E MINORIAS,1,Nacional,Organização agrária,Reforma agrária,1040 - GOVERNANCA FUNDIARIA,"210Z - IDENTIFICACAO, RECONHECIMENTO E TITULACAO DE TERRITORIOS QUILOMBOLAS",RECONHECIMENTO E INDENIZACAO DE TERRITORIOS QUILOMBOLAS - DESPESAS DIVERSAS,202350300001,52471.26,49271.26
2023,Emenda Individual - Transferências com Finalidade Definida,GENERAL PETERNELLI,16,Nacional,Defesa nacional,Atenção básica,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,2E74 - ESTRUTURACAO E MODERNIZACAO DE UNIDADES DE SAUDE DAS FORCAS ARMADAS,ESTRUTURACAO E MODERNIZACAO DE UNIDADES DE SAUDE DAS FORCAS ARMADAS,202339950016,62920.0,62920.0
2023,Emenda Individual - Transferências com Finalidade Definida,ANGELA AMIN,13,SANTA CATARINA (UF),Cultura,"Patrimônio histórico, artístico e arqueológico",5025 - CULTURA,20ZH - PRESERVACAO DO PATRIMONIO CULTURAL BRASILEIRO,PRESERVACAO DO PATRIMONIO CULTURAL BRASILEIRO - DESPESAS DIVERSAS,202318800013,69605.95,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,JULIO CESAR,5,Nacional,Defesa nacional,Empregabilidade,6011 - COOPERACAO COM O DESENVOLVIMENTO NACIONAL,6557 - FORMACAO CIVICO-PROFISSIONAL DE JOVENS VINCULADOS AO SERVICO MILITAR - SOLDADO CIDADAO,FORMACAO CIVICO-PROFISSIONAL DE JOVENS VINCULADOS AO SERVICO MILITAR - SOLDADO CIDADAO,202312460005,81458.2,71958.2
2023,Emenda Individual - Transferências com Finalidade Definida,RICARDO IZAR,7,PRESIDENTE VENCESLAU - SP,Assistência social,Assistência comunitária,5031 - PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS),219G - ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS),ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS,202328150007,81460.0,81460.0
2023,Emenda Individual - Transferências com Finalidade Definida,ROSANGELA GOMES,2,Nacional,Defesa nacional,Administração geral,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,2000 - ADMINISTRACAO DA UNIDADE,ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS,202337560002,81460.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,KIM KATAGUIRI,5,SÃO PAULO (UF),Agricultura,Difusão do conhecimento científico e tecnológico,2203 - PESQUISA E INOVACAO AGROPECUARIA,8924 - TRANSFERENCIA DE TECNOLOGIAS PARA A INOVACAO PARA A AGROPECUARIA,TRANSFERENCIA DE TECNOLOGIAS PARA A INOVACAO PARA A AGROPECUARIA - DESPESAS DIVERSAS,202341550005,81460.0,96844.34
2023,Emenda Individual - Transferências com Finalidade Definida,FLAVIA ARRUDA,12,DISTRITO FEDERAL (UF),Educação,Ensino superior,"5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO","20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO","FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS",202339870012,81460.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,RAFAEL MOTTA,7,RIO GRANDE DO NORTE (UF),Comércio e serviços,Promoção comercial,2212 - MELHORIA DO AMBIENTE DE NEGOCIOS E DA PRODUTIVIDADE,"210C - PROMOCAO DO DESENVOLVIMENTO DE MICRO E PEQUENAS EMPRESAS, MICROEMPREENDEDOR INDIVIDUAL, POTENCIAL EMPREENDEDOR E ARTESANATO","PROMOCAO DO DESENVOLVIMENTO DE MICRO E PEQUENAS EMPRESAS, MICROEEMPRENDEDOR INDIVIDUAL, POTENCIAL EMPREENDEDOR E ARTESANATO",202337420007,83003.0,83003.0
2023,Emenda Individual - Transferências com Finalidade Definida,NICOLETTI,5,RORAIMA (UF),Saúde,Vigilância epidemiológica,5023 - VIGILANCIA EM SAUDE,20YJ - FORTALECIMENTO DO SISTEMA NACIONAL DE VIGILANCIA EM SAUDE E AMBIENTE,FORTALECIMENTO DO SISTEMA NACIONAL DE VIGILANCIA EM SAUDE - DESPESAS DIVERSAS,202341640005,83641.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,EUCLYDES PETTERSEN,1,MINAS GERAIS (UF),Saúde,Atenção básica,5019 - ATENCAO PRIMARIA A SAUDE,8581 - ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE,ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE - DESPESAS DIVERSAS,202339780001,83953.0,83953.0
2023,Emenda Individual - Transferências com Finalidade Definida,WELLINGTON ROBERTO,7,Nacional,Saúde,Assistência hospitalar e ambulatorial,5018 - ATENCAO ESPECIALIZADA A SAUDE,6148 - ASSISTENCIA MEDICA QUALIFICADA E GRATUITA A TODOS OS NIVEIS DA POPULACAO E DESENVOLVIMENTO DE ATIVIDADES EDUCACIONAIS E DE PESQUISA NO CAMPO DA SAUDE - REDE SARAH DE HOSPITAIS DE REABILITACAO,ASSISTENCIA MEDICA QUALIFICADA E GRATUITA A TODOS OS NIVEIS DA POPULACAO E DESENVOLVIMENTO DE ATIVIDADES EDUCACIONAIS E DE PESQUISA NO CAMPO DA SAUDE - REDE SARAH DE HOSPITAIS DE REABILITACAO - DESPES,202312770007,84551.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,IVETE DA SILVEIRA,7,FLORIANÓPOLIS - SC,Defesa nacional,Atenção básica,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,2E74 - ESTRUTURACAO E MODERNIZACAO DE UNIDADES DE SAUDE DAS FORCAS ARMADAS,ESTRUTURACAO E MODERNIZACAO DE UNIDADES DE SAUDE DAS FORCAS ARMADAS,202342510007,97693.87,86793.87
2023,Emenda de Comissão,COM. ASSUNTOS SOCIAIS,4,Nacional,Saúde,Assistência aos povos indígenas,"5022 - PROTECAO, PROMOCAO E RECUPERACAO DA SAUDE INDIGENA","20YP - PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA","PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA - DESPESAS DIVERSAS",202360060004,98605.0,0.0
2023,Emenda de Comissão,COM. ASSUNTOS SOCIAIS,2,Nacional,Saúde,Assistência aos povos indígenas,"5022 - PROTECAO, PROMOCAO E RECUPERACAO DA SAUDE INDIGENA","20YP - PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA","PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA - DESPESAS DIVERSAS",202360060002,99460.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,LAFAYETTE DE ANDRADA,14,Nacional,Relações exteriores,Administração geral,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,2000 - ADMINISTRACAO DA UNIDADE,ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS,202340290014,99580.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,DAMIAO FELICIANO,14,JOÃO PESSOA - PB,Educação,Assistência hospitalar e ambulatorial,"5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO",4086 - FUNCIONAMENTO E GESTAO DE INSTITUICOES HOSPITALARES FEDERAIS,FUNCIONAMENTO E GESTAO DE INSTITUICOES HOSPITALARES FEDERAIS - DESPESAS DIVERSAS,202335300014,99715.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,CARLA ZAMBELLI,6,PIRASSUNUNGA - SP,Defesa nacional,Atenção básica,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,2E74 - ESTRUTURACAO E MODERNIZACAO DE UNIDADES DE SAUDE DAS FORCAS ARMADAS,ESTRUTURACAO E MODERNIZACAO DE UNIDADES DE SAUDE DAS FORCAS ARMADAS,202339280006,99743.95,98558.95
2023,Emenda Individual - Transferências com Finalidade Definida,RONALDO MARTINS,5,CEARÁ (UF),Defesa nacional,Administração geral,0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,2000 - ADMINISTRACAO DA UNIDADE,ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS,202337540005,99744.4,96788.74
2023,Emenda Individual - Transferências com Finalidade Definida,LUIZIANNE LINS,5,CEARÁ (UF),Educação,Ensino superior,"5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO",20RK - FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS,202337100005,99763.9,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,NATALIA BONAVIDES,9,RIO GRANDE DO NORTE (UF),Educação,Educação básica,5011 - EDUCACAO BASICA DE QUALIDADE,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,202341630009,99872.03,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,LIDICE DA MATA,10,BAHIA (UF),Agricultura,Desenvolvimento tecnológico e engenharia,2203 - PESQUISA E INOVACAO AGROPECUARIA,"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA",PESQUISA E DESENVOLVIMENTO DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS,202324680010,99949.0,65549.0
2023,Emenda Individual - Transferências com Finalidade Definida,LUIZIANNE LINS,15,CEARÁ (UF),Educação,Ensino superior,"5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO",20RK - FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS,202337100015,99951.71,1769.69
2023,Emenda de Comissão,COM. ASSUNTOS ECONOMICOS,4,Nacional,Defesa nacional,Defesa terrestre,6012 - DEFESA NACIONAL,14T5 - IMPLANTACAO DO SISTEMA INTEGRADO DE MONITORAMENTO DE FRONTEIRAS - SISFRON,IMPLANTACAO DO SISTEMA INTEGRADO DE MONITORAMENTO DE FRONTEIRAS - SISFRON - DESPESAS DIVERSAS,202360050004,99971.9,99971.9
2023,Emenda Individual - Transferências com Finalidade Definida,ADRIANO DO BALDY,8,GOIÁS (UF),Saúde,Atenção básica,5019 - ATENCAO PRIMARIA A SAUDE,8581 - ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE,ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE - DESPESAS DIVERSAS,202339000008,99982.0,99982.0
2023,Emenda Individual - Transferências com Finalidade Definida,CARLOS JORDY,9,RIO DE JANEIRO (UF),Defesa nacional,Defesa naval,6012 - DEFESA NACIONAL,219D - ADEQUACAO DE ATIVOS DE INFRAESTRUTURA DAS ORGANIZACOES MILITARES,ADEQUACAO DE ATIVOS DE INFRAESTRUTURA DAS ORGANIZACOES MILITARES - DESPESAS DIVERSAS,202339300009,99995.37,59254.96
2023,Emenda de Comissão,COM. MISTA DE CONTROLE DAS ATIV. DE INTELIGENCIA,3,Nacional,Defesa nacional,Defesa terrestre,6012 - DEFESA NACIONAL,14T5 - IMPLANTACAO DO SISTEMA INTEGRADO DE MONITORAMENTO DE FRONTEIRAS - SISFRON,IMPLANTACAO DO SISTEMA INTEGRADO DE MONITORAMENTO DE FRONTEIRAS - SISFRON - DESPESAS DIVERSAS,202350270003,99999.92,99999.92
2023,Emenda Individual - Transferências com Finalidade Definida,JOSE ROCHA,5,BAHIA (UF),Saúde,Assistência hospitalar e ambulatorial,5018 - ATENCAO ESPECIALIZADA A SAUDE,8535 - ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE,ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE - DESPESAS DIVERSAS,202332620005,100000.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,DAMIAO FELICIANO,2,JOÃO PESSOA - PB,Saúde,Assistência hospitalar e ambulatorial,5018 - ATENCAO ESPECIALIZADA A SAUDE,2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS,INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS,202335300002,100000.0,100000.0
2023,Emenda Individual - Transferências com Finalidade Definida,JOAO DANIEL,4,SERGIPE (UF),Agricultura,Promoção da produção agropecuária,1031 - AGROPECUARIA SUSTENTAVEL,20ZV - FOMENTO AO SETOR AGROPECUARIO,FOMENTO AO SETOR AGROPECUARIO - DESPESAS DIVERSAS,202336910004,100000.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,WALTER ALVES,11,RIO GRANDE DO NORTE (UF),Saúde,Assistência hospitalar e ambulatorial,5018 - ATENCAO ESPECIALIZADA A SAUDE,2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS,INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS,202337790011,100000.0,100000.0
2023,Emenda Individual - Transferências com Finalidade Definida,MIGUEL LOMBARDI,6,ALAGOAS (UF),Saúde,Assistência hospitalar e ambulatorial,5018 - ATENCAO ESPECIALIZADA A SAUDE,2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS,INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS,202337300006,100000.0,100000.0
2023,Emenda Individual - Transferências com Finalidade Definida,RUY CARNEIRO,2,PARAÍBA (UF),Educação,Ensino superior,"5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO","20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO","FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS",202327150002,100000.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,LASIER MARTINS,11,RIO GRANDE DO SUL (UF),Educação,Ensino superior,"5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO",20RK - FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS,202337930011,100000.0,100000.0
2023,Emenda Individual - Transferências com Finalidade Definida,JOAO DANIEL,14,Nacional,Desporto e lazer,Desporto comunitário,5026 - ESPORTE,"20JP - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL","DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROJETOS E EVENTOS DE ESPORTE, EDUCACAO, LAZER E INCLUSAO SOCIAL - DESPESAS DIVERSAS",202336910014,100000.0,100000.0
2023,Emenda de Comissão,COM. RELACOES EXT E DEFESA NACIONAL,3,Nacional,Defesa nacional,Defesa naval,6012 - DEFESA NACIONAL,123I - CONSTRUCAO DE SUBMARINOS CONVENCIONAIS,CONSTRUCAO DE SUBMARINOS CONVENCIONAIS - DESPESAS DIVERSAS,202360020003,100000.0,100000.0
2023,Emenda Individual - Transferências com Finalidade Definida,ANDRE FIGUEIREDO,4,CEARÁ (UF),Desporto e lazer,Desporto comunitário,5026 - ESPORTE,"20JP - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL","DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROJETOS E EVENTOS DE ESPORTE, EDUCACAO, LAZER E INCLUSAO SOCIAL - DESPESAS DIVERSAS",202320830004,100000.0,100000.0
2023,Emenda Individual - Transferências com Finalidade Definida,DAMIAO FELICIANO,7,JOÃO PESSOA - PB,Saúde,Assistência hospitalar e ambulatorial,5018 - ATENCAO ESPECIALIZADA A SAUDE,2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS,INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS,202335300007,100000.0,100000.0
2023,Emenda Individual - Transferências com Finalidade Definida,CELIO SILVEIRA,3,GOIÁS (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos","5034 - PROTECAO A VIDA, FORTALECIMENTO DA FAMILIA, PROMOCAO E DEFESA DOS DIREITOS HUMANOS PARA TODOS",21AR - PROMOCAO E DEFESA DE DIREITOS HUMANOS PARA TODOS,PROMOCAO E DEFESA DE DIREITOS HUMANOS PARA TODOS - DESPESAS DIVERSAS,202330700003,100000.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,DAMIAO FELICIANO,12,CAMPINA GRANDE - PB,Saúde,Assistência hospitalar e ambulatorial,5018 - ATENCAO ESPECIALIZADA A SAUDE,2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS,INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS,202335300012,100000.0,100000.0
2023,Emenda Individual - Transferências com Finalidade Definida,JOSE ROCHA,7,BAHIA (UF),Saúde,Assistência hospitalar e ambulatorial,5018 - ATENCAO ESPECIALIZADA A SAUDE,8535 - ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE,ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE - DESPESAS DIVERSAS,202332620007,100000.0,0.0
